equipment,est_peak_temp,num_companions,ticket,gender,distance_home,food_spend,age,runs
rent,5,1,child,male,167,26,15,5
own,5,0,child,female,18,25,18,8
own,5,1,season,male,42,0,41,8
own,5,3,adult,male,15,18,44,5
rent,5,1,season,female,52,27,49,4
own,5,2,child,male,23,0,6,11
own,-15,4,senior,male,165,0,69,1
own,15,1,senior,female,41,0,63,12
own,5,1,season,female,46,23,56,3
own,15,2,season,male,175,17,30,6
rent,0,0,senior,male,96,0,68,8
own,15,3,senior,male,111,16,72,9
rent,15,1,senior,male,54,0,78,10
own,20,1,senior,male,15,25,65,12
rent,15,1,adult,male,32,0,54,9
own,0,1,child,female,118,24,11,4
own,5,1,season,male,106,10,66,7
rent,35,2,senior,male,27,19,73,15
own,10,2,adult,male,52,0,31,12
own,15,1,adult,male,16,24,49,9
own,-5,1,adult,female,22,12,56,10
own,20,2,senior,male,119,0,68,13
own,20,4,adult,female,147,0,23,9
own,0,1,adult,female,17,17,41,8
rent,0,2,senior,male,43,0,69,7
own,15,1,adult,male,10,20,25,11
own,-0,1,adult,other,127,15,20,6
own,-5,2,senior,female,176,0,61,4
own,-5,1,season,female,34,7,57,6
own,-5,1,season,male,127,21,29,1
own,-10,0,senior,male,173,12,73,1
own,-15,1,adult,male,47,8,20,5
rent,15,0,senior,female,48,0,61,12
own,15,0,child,male,110,21,13,7
own,10,1,senior,male,29,15,70,9
own,0,1,adult,female,36,0,28,6
rent,15,4,season,female,60,0,32,7
own,20,1,season,female,99,7,69,11
own,20,1,adult,female,106,0,44,13
own,10,4,child,male,117,11,9,8
rent,-10,0,senior,female,109,25,66,1
rent,-5,4,senior,female,96,12,66,2
rent,20,2,season,male,32,21,60,9
own,-10,1,child,male,37,11,9,5
own,20,1,adult,male,105,17,25,10
own,0,1,season,male,126,0,48,8
own,20,2,child,female,23,0,12,14
own,-0,4,senior,female,122,0,81,6
own,15,0,senior,male,17,19,67,13
own,10,1,adult,female,175,17,60,6
own,5,2,adult,male,13,15,59,6
own,-10,0,adult,female,115,0,56,3
own,15,2,season,male,48,15,47,10
own,10,5,child,male,53,13,13,7
own,15,1,child,male,38,0,15,11
own,-0,2,adult,female,130,21,47,4
own,25,4,adult,male,98,13,23,12
own,20,2,senior,male,26,15,69,14
own,10,4,season,female,51,0,32,6
own,15,1,adult,female,34,15,22,9
rent,0,1,senior,female,100,0,68,6
rent,-5,2,adult,female,115,28,35,2
own,15,4,season,female,89,15,50,6
own,-0,1,child,male,114,0,13,7
own,15,2,senior,male,19,14,65,10
own,10,2,adult,female,54,0,35,10
own,10,2,senior,female,105,0,66,11
own,10,1,adult,female,17,17,53,10
own,0,2,adult,female,171,8,54,6
own,25,0,child,female,98,21,7,11
rent,20,3,season,female,24,29,61,9
own,5,2,season,female,18,12,66,7
rent,10,1,season,female,64,22,52,7
own,5,2,adult,female,63,14,34,8
own,-0,1,adult,female,37,15,45,8
own,5,0,adult,male,99,22,58,9
own,10,2,senior,male,111,17,63,7
own,5,3,adult,male,19,0,58,12
own,10,2,season,male,18,21,73,7
rent,20,3,season,male,104,7,43,7
own,5,0,child,male,51,0,15,12
rent,30,3,senior,male,164,0,70,12
own,15,1,season,male,21,0,28,11
own,25,4,senior,male,33,24,71,11
own,-0,0,adult,female,31,14,37,8
rent,10,1,child,female,37,11,16,10
own,10,7,adult,female,66,17,28,7
own,10,2,adult,male,137,6,42,7
own,0,4,adult,female,169,9,25,4
rent,0,0,season,female,13,17,56,5
own,20,0,adult,male,151,10,45,13
own,10,0,season,female,175,0,64,5
own,5,2,senior,male,23,24,66,7
own,5,0,adult,male,39,21,51,8
rent,-5,0,senior,male,98,18,67,2
own,10,1,child,female,116,24,11,8
own,10,4,child,female,52,15,10,9
rent,0,1,adult,male,69,0,29,6
own,5,1,adult,male,21,0,51,10
own,10,0,adult,female,116,0,56,11
own,25,4,senior,male,14,19,74,10
own,20,2,child,female,35,20,10,13
rent,5,2,child,male,60,27,16,7
own,20,1,adult,male,45,21,47,11
own,10,2,child,male,57,5,11,9
rent,25,1,adult,female,22,14,40,15
own,-0,1,senior,male,23,26,79,5
own,10,3,season,male,37,21,19,5
own,20,3,adult,male,167,0,31,11
own,-0,1,adult,male,100,21,55,5
own,10,0,senior,female,108,0,64,10
own,20,1,season,female,107,0,26,11
own,5,2,child,female,166,0,15,8
own,15,0,season,female,34,18,62,11
own,10,2,child,female,113,0,18,9
own,-0,0,child,male,48,15,16,7
rent,15,1,senior,male,99,11,69,7
rent,5,2,adult,female,158,8,30,6
own,20,1,senior,male,13,25,70,13
own,0,3,senior,female,165,10,85,3
own,10,4,senior,female,124,12,80,7
own,-0,1,season,female,119,14,50,3
own,-0,3,season,female,100,20,43,3
own,25,0,adult,female,45,14,58,14
own,15,2,child,male,51,23,10,11
rent,10,2,child,female,13,24,8,8
own,5,0,senior,male,23,16,75,11
rent,30,2,adult,male,158,16,26,11
own,20,1,adult,male,128,0,44,15
own,5,2,adult,female,117,0,59,9
own,5,2,adult,female,15,0,39,10
own,-5,0,child,male,32,8,18,8
own,15,3,adult,male,95,18,22,7
own,-0,1,child,female,123,27,14,4
own,15,3,season,female,109,0,53,7
own,20,3,season,female,118,16,69,8
own,5,1,child,female,28,10,17,12
rent,15,0,season,male,136,14,44,7
own,10,0,season,female,162,0,65,7
own,20,1,senior,female,41,8,65,11
own,15,2,adult,male,55,9,27,12
own,10,0,season,male,176,0,62,7
own,10,2,senior,male,165,27,69,6
own,5,1,child,male,177,0,9,6
own,10,0,senior,male,34,8,66,12
rent,5,3,adult,male,161,14,22,6
own,15,1,adult,male,31,15,26,10
own,5,0,adult,female,15,0,57,11
own,15,2,child,male,24,0,5,13
own,5,1,child,male,15,17,5,10
own,30,1,adult,female,116,0,41,13
rent,10,1,adult,male,112,0,40,8
own,15,3,adult,female,119,15,19,10
rent,-5,1,child,male,159,16,9,3
own,10,3,child,male,16,23,7,10
own,10,1,adult,female,109,23,20,7
rent,-0,1,adult,male,112,10,57,6
own,0,4,adult,male,47,17,47,6
own,20,1,senior,male,113,19,80,9
own,0,1,senior,male,121,11,78,8
own,10,3,child,male,63,9,11,10
rent,-5,0,season,male,105,0,65,5
own,15,2,adult,female,99,21,54,9
own,20,1,season,female,23,10,51,10
own,-0,1,adult,male,119,18,28,5
own,25,5,senior,male,29,9,64,14
own,15,1,season,male,53,17,38,8
own,-0,1,adult,female,30,0,46,9
own,30,0,adult,female,16,19,26,17
own,0,3,adult,male,109,0,34,6
own,20,0,adult,male,36,11,46,12
rent,20,2,child,female,53,12,11,11
rent,0,1,adult,female,19,11,41,8
own,10,1,adult,male,108,16,46,6
own,-5,2,adult,male,34,21,23,5
own,20,2,adult,male,124,0,59,13
own,20,0,adult,male,45,23,38,10
own,15,3,adult,female,98,23,55,8
own,25,1,season,male,106,16,52,11
own,5,0,adult,female,33,0,47,12
own,20,0,season,female,99,0,41,8
own,15,0,adult,female,14,25,52,8
own,5,3,senior,male,11,15,75,6
own,-5,1,adult,female,27,18,27,6
own,15,0,adult,male,28,25,30,9
own,10,2,child,male,100,19,9,7
own,10,3,adult,male,51,0,58,8
own,15,1,child,male,13,17,10,13
own,10,1,season,female,170,21,44,4
own,15,0,senior,male,29,20,61,11
own,0,1,adult,male,165,23,50,5
own,-15,1,senior,female,30,18,65,3
own,5,0,adult,female,16,0,43,11
rent,10,2,adult,female,167,0,58,5
rent,10,0,senior,female,95,10,71,7
own,5,2,child,male,26,8,12,11
own,10,1,adult,female,102,15,36,8
own,20,1,adult,male,15,20,37,13
own,5,1,adult,male,57,21,26,9
own,15,1,adult,female,88,0,46,12
rent,5,1,child,male,162,22,13,6
rent,20,0,adult,male,29,26,46,9
own,5,1,season,male,34,13,40,6
own,15,0,season,female,165,12,72,8
own,5,2,senior,male,18,0,66,8
own,0,3,senior,male,117,20,65,4
own,15,1,senior,female,14,0,64,10
own,10,1,child,male,29,12,7,11
own,10,4,adult,female,17,17,60,9
own,20,1,child,male,170,25,12,9
rent,10,0,season,male,113,0,37,5
rent,5,1,adult,male,50,21,57,9
own,15,0,season,female,168,13,64,7
own,-0,2,adult,other,50,23,24,7
own,0,0,senior,male,60,16,66,6
rent,5,0,adult,female,51,7,33,10
own,20,2,adult,female,158,23,22,9
rent,0,1,adult,male,188,20,56,2
rent,10,1,adult,male,107,26,59,6
own,-0,0,senior,male,125,0,74,6
own,10,3,adult,female,170,5,26,5
own,20,2,adult,male,188,24,23,8
own,5,1,adult,female,50,14,28,7
own,10,2,child,female,18,0,13,11
own,10,1,adult,male,176,0,58,8
rent,5,1,adult,female,155,0,22,9
own,10,2,adult,male,113,17,37,8
own,15,1,senior,male,111,0,69,9
own,20,2,adult,female,21,15,41,12
own,20,1,adult,female,13,14,33,12
own,20,3,adult,female,39,22,29,12
own,10,1,adult,female,100,20,36,8
own,15,2,adult,male,164,0,22,10
own,10,1,adult,female,108,19,26,8
own,-0,1,senior,male,126,11,71,5
own,0,1,adult,male,63,15,34,8
own,0,1,child,male,53,8,17,10
own,15,0,season,male,46,17,42,9
own,10,0,season,female,50,10,73,9
rent,5,3,senior,female,168,24,70,4
own,10,1,adult,male,51,0,32,10
own,10,3,child,male,51,24,15,8
rent,20,2,season,male,145,9,37,10
own,-0,2,senior,female,126,17,76,4
own,15,4,child,male,28,11,17,12
own,15,2,adult,male,168,0,41,11
own,-15,1,adult,male,17,0,46,4
own,25,0,adult,female,19,19,52,14
own,20,2,adult,female,58,12,57,13
own,5,1,senior,male,111,20,61,5
own,15,1,child,female,49,18,15,10
own,-5,0,child,female,18,0,14,9
rent,15,1,child,female,39,14,9,11
own,10,2,child,male,46,26,8,10
own,15,2,child,other,173,19,14,8
own,25,3,adult,female,97,22,43,10
own,-15,0,senior,female,28,8,60,4
own,5,1,child,male,18,19,13,10
own,20,1,season,female,53,0,74,12
own,20,6,adult,male,170,27,37,8
own,5,0,adult,female,52,0,48,11
own,10,2,season,female,35,18,65,6
own,10,0,adult,female,21,6,27,12
rent,-5,2,senior,male,171,17,64,1
own,10,1,adult,female,40,19,47,9
own,5,4,adult,female,43,0,43,9
own,20,1,senior,female,40,26,67,9
own,5,1,adult,male,162,6,52,8
rent,5,3,season,male,82,14,43,4
own,20,2,child,male,16,11,18,12
own,15,0,adult,female,32,14,28,10
rent,10,0,senior,female,95,14,88,8
own,5,2,adult,male,93,16,20,8
own,15,0,adult,male,47,0,55,14
rent,10,0,season,female,127,18,30,4
rent,10,0,adult,male,30,0,22,9
own,15,2,adult,male,16,0,42,13
own,15,2,season,female,106,17,73,4
rent,5,1,senior,male,37,20,88,5
own,15,1,adult,male,34,12,51,12
own,15,1,season,female,129,0,30,7
own,5,0,senior,male,47,18,64,8
own,10,0,senior,male,31,11,77,10
own,15,0,adult,female,179,26,27,8
rent,-20,1,adult,female,200,12,49,1
own,15,2,adult,male,49,0,39,11
rent,-0,1,child,male,114,11,15,5
own,10,1,child,male,163,12,13,7
own,5,2,senior,male,123,0,66,6
own,-5,0,season,male,107,17,23,3
own,5,4,senior,male,181,21,84,2
own,15,0,adult,male,105,17,50,10
own,15,2,adult,male,126,0,53,10
own,30,2,adult,female,55,12,41,13
own,20,2,adult,male,22,0,34,14
own,-5,2,child,other,30,8,16,8
own,30,1,senior,female,106,15,67,16
own,25,2,adult,female,11,12,45,16
own,5,1,child,male,116,8,13,10
rent,20,1,child,female,45,0,15,15
own,20,0,adult,female,22,20,44,11
rent,20,1,adult,female,11,10,50,13
own,10,3,adult,male,44,0,53,12
rent,5,0,adult,male,55,18,47,9
rent,10,4,child,male,14,0,9,8
own,0,1,senior,female,169,0,65,4
own,-5,0,child,female,163,0,15,3
rent,5,0,adult,female,21,17,27,9
own,5,2,child,female,51,31,17,7
own,0,2,adult,male,49,23,44,7
own,15,2,child,female,104,10,17,8
own,-0,2,senior,female,112,10,65,6
own,5,0,season,male,123,0,33,6
own,15,4,adult,female,13,18,19,10
own,5,0,child,male,51,19,7,9
own,10,1,senior,male,113,25,76,7
own,30,2,adult,male,182,0,30,13
rent,10,1,season,female,37,9,36,10
own,15,2,season,male,39,14,63,9
own,5,0,adult,male,57,11,20,11
rent,15,1,child,female,107,0,11,11
own,20,1,adult,male,177,10,27,9
own,10,2,season,male,48,0,51,9
own,15,0,child,female,154,24,12,9
own,-0,1,adult,female,28,13,53,8
own,15,0,senior,female,49,0,91,14
own,-5,1,adult,male,170,0,42,8
own,20,2,adult,other,15,22,51,9
rent,-5,2,child,female,19,25,9,5
own,15,1,child,male,26,22,11,12
rent,25,1,adult,male,107,17,26,10
own,5,1,senior,female,51,20,71,4
rent,15,3,adult,female,116,0,52,8
own,20,2,adult,female,124,23,38,10
rent,30,4,adult,female,61,16,31,12
own,35,1,adult,male,44,0,50,15
own,-0,1,senior,female,110,21,80,4
own,15,1,adult,female,118,0,51,10
own,15,2,adult,male,12,9,47,9
own,-5,1,adult,female,169,18,19,4
own,20,2,adult,male,31,19,23,12
own,20,1,adult,male,101,15,46,9
own,-10,2,adult,male,19,23,28,3
own,15,1,child,male,190,22,12,9
own,20,1,adult,male,32,8,48,13
own,10,4,adult,male,46,23,22,9
own,-10,0,senior,male,43,24,66,3
own,30,1,adult,male,167,0,58,16
own,10,2,child,male,187,26,10,4
own,-15,0,season,female,122,24,34,1
own,10,0,senior,female,36,12,69,10
own,10,1,season,male,19,16,30,9
own,15,2,adult,male,93,9,52,10
own,15,0,senior,male,115,18,66,11
own,10,1,child,female,186,8,13,8
rent,20,3,senior,female,48,16,71,11
own,10,1,senior,female,17,11,69,10
own,5,2,adult,female,18,19,35,9
own,20,1,adult,male,53,10,31,12
own,10,1,adult,male,119,4,34,9
rent,20,1,senior,male,137,13,71,7
rent,10,2,child,female,126,27,15,4
own,25,2,child,female,12,14,18,11
own,20,3,senior,female,96,14,95,8
rent,10,0,senior,male,27,15,65,7
rent,5,1,adult,other,15,10,31,8
own,5,2,senior,female,45,0,74,12
own,15,0,senior,male,39,17,65,13
own,5,1,adult,male,100,0,34,7
own,-0,2,season,male,164,13,67,3
own,10,2,adult,male,38,8,43,9
rent,-0,3,child,female,17,0,12,8
rent,10,0,adult,female,119,22,52,8
rent,10,2,child,female,111,0,18,11
own,-5,3,child,male,119,10,16,4
own,5,0,child,male,51,19,10,9
rent,5,0,adult,male,178,17,36,7
own,-5,0,adult,male,50,0,59,8
own,5,0,adult,female,101,16,40,7
own,-5,1,adult,male,12,19,25,6
own,25,2,adult,female,178,21,59,11
own,20,1,adult,male,15,0,59,14
own,5,0,season,male,17,13,75,7
own,-10,1,season,female,116,0,68,3
own,10,1,adult,female,58,0,51,11
own,10,0,senior,female,133,11,67,8
own,15,4,child,male,180,15,17,8
own,10,1,adult,female,20,12,18,8
own,15,1,adult,male,110,24,26,11
rent,-10,1,adult,male,168,28,34,2
own,20,1,season,male,41,12,51,11
own,20,0,child,female,105,7,12,15
rent,20,1,senior,male,32,0,79,12
own,10,1,season,female,55,0,63,11
own,5,2,adult,male,39,24,41,7
own,5,0,senior,male,37,17,71,8
own,25,1,season,female,177,0,33,10
rent,-0,0,adult,female,41,14,19,6
own,5,0,adult,female,122,0,56,9
own,25,0,senior,female,168,25,69,10
own,25,3,adult,male,16,25,19,11
own,0,2,adult,male,59,0,29,8
own,20,4,adult,female,40,8,30,11
own,10,1,season,male,58,20,33,6
own,5,2,adult,male,33,12,49,11
own,30,1,adult,female,18,14,46,15
own,5,0,child,male,52,0,13,11
rent,15,4,adult,female,23,28,31,10
own,15,2,senior,female,61,9,71,9
own,10,3,adult,female,51,10,27,9
own,10,1,adult,female,51,17,48,9
own,20,2,adult,male,33,0,37,13
rent,25,1,child,female,23,20,14,15
rent,30,2,adult,male,46,7,56,14
own,15,2,adult,female,14,22,51,11
rent,15,0,adult,female,45,12,25,12
rent,5,1,adult,female,170,23,29,3
own,-0,2,adult,female,34,15,35,5
own,20,1,senior,female,41,0,63,11
own,20,0,senior,female,26,20,62,14
own,5,2,adult,male,176,0,32,9
own,10,1,adult,female,22,9,51,10
own,25,4,adult,male,92,23,27,10
own,25,3,adult,male,113,8,38,10
own,15,4,adult,female,46,0,40,10
own,15,3,senior,male,15,7,68,9
own,15,0,child,female,51,16,12,12
own,30,3,adult,male,113,14,46,14
own,0,1,adult,female,52,0,38,10
own,-5,2,child,male,104,0,6,6
own,15,2,adult,male,105,0,40,9
own,25,2,season,female,53,21,57,11
rent,10,3,adult,female,24,0,21,10
own,-0,1,child,male,40,17,7,7
own,15,2,adult,male,21,13,45,11
rent,5,1,senior,male,134,0,64,8
own,20,1,adult,female,58,20,20,11
own,30,1,season,male,14,15,53,12
rent,5,1,senior,male,103,0,60,9
own,25,2,season,male,55,18,45,9
own,5,1,senior,male,23,0,63,9
own,20,0,adult,female,171,24,27,9
own,-0,3,season,female,47,22,17,4
rent,20,3,adult,female,14,8,38,11
own,10,2,season,male,162,0,63,7
own,-5,2,adult,female,141,9,51,5
rent,-10,2,adult,male,33,29,50,1
rent,10,3,child,female,23,18,13,9
rent,5,1,child,female,17,19,7,8
own,5,1,adult,male,155,0,59,6
own,20,3,child,male,168,22,12,9
own,15,1,adult,male,118,12,20,11
rent,10,0,adult,female,36,7,22,7
own,30,1,child,male,15,0,15,17
rent,10,1,season,female,114,11,47,7
own,10,0,adult,female,134,21,44,6
rent,-0,3,adult,male,45,6,42,7
own,10,4,adult,male,85,0,30,8
own,25,1,child,female,9,15,6,16
own,5,2,adult,female,33,23,57,6
rent,20,3,adult,female,179,25,28,4
own,20,0,child,male,174,0,15,9
own,-5,2,child,female,42,22,14,6
own,5,2,adult,male,107,19,36,6
rent,10,1,adult,male,43,9,41,11
own,20,4,adult,male,26,23,44,11
own,25,1,season,female,165,0,45,11
own,15,4,child,male,122,14,7,11
own,5,3,child,female,123,15,17,4
own,25,1,adult,male,107,13,51,11
own,-0,0,adult,female,89,17,42,8
own,10,1,child,male,15,0,6,11
own,10,3,adult,male,47,18,35,5
own,5,0,adult,female,159,10,29,9
own,15,0,adult,male,27,10,49,13
own,20,0,adult,female,66,0,37,14
own,25,3,child,female,58,27,7,11
rent,30,1,adult,female,18,27,49,12
own,15,2,senior,male,182,15,65,8
own,5,1,child,male,162,22,8,6
rent,5,1,season,male,28,9,46,9
own,10,1,adult,female,137,23,50,7
own,-10,3,senior,male,53,10,61,3
own,20,3,child,female,20,10,12,10
own,25,2,adult,female,28,10,51,13
own,-15,0,season,male,39,0,42,3
own,-5,0,adult,male,112,26,51,4
own,35,0,adult,female,99,13,36,15
own,10,0,child,male,27,27,13,11
own,20,0,adult,male,184,19,41,11
rent,15,0,adult,female,113,18,45,10
rent,5,1,senior,female,164,0,77,5
own,5,3,senior,female,59,0,77,6
own,15,1,adult,male,116,16,58,10
own,-10,2,adult,male,54,28,59,1
own,20,2,child,male,104,13,13,13
own,5,3,adult,male,40,14,51,11
own,20,2,adult,male,171,0,56,10
own,0,0,child,male,136,0,9,10
own,5,1,child,male,34,15,8,9
own,5,4,senior,male,176,30,71,1
rent,20,0,senior,male,25,21,65,11
rent,10,2,adult,female,32,16,48,9
own,5,0,adult,male,102,0,40,10
own,5,2,child,male,48,20,7,8
own,25,1,child,female,101,8,7,11
own,15,1,adult,male,118,0,24,12
own,20,3,adult,female,166,12,45,10
own,-10,0,adult,male,36,28,54,3
rent,15,2,adult,male,52,13,53,10
own,15,4,child,male,163,6,5,7
own,15,0,season,male,110,0,11,11
own,10,1,adult,female,31,0,55,12
rent,20,0,child,female,176,24,13,7
own,10,0,senior,male,115,18,62,6
own,20,1,senior,female,170,12,67,9
own,20,2,adult,male,50,13,20,12
rent,20,2,senior,male,137,18,61,9
own,5,0,season,male,37,21,55,4
own,-10,0,season,male,43,10,37,4
rent,25,2,season,male,74,21,42,9
own,0,2,adult,male,162,0,50,5
rent,0,1,child,male,133,14,8,5
rent,5,2,adult,male,46,0,52,11
rent,15,2,child,male,18,23,18,9
own,25,0,adult,female,122,22,55,9
own,0,3,season,male,118,10,44,4
own,10,0,adult,female,102,18,40,11
own,10,2,child,female,121,23,12,6
rent,-10,0,adult,female,43,0,35,6
own,20,3,child,male,109,12,16,12
own,0,5,season,male,115,17,60,2
own,-10,0,child,male,94,0,8,8
own,30,2,adult,female,129,9,19,14
own,0,0,adult,female,47,8,33,10
own,0,0,child,other,158,0,16,7
own,-0,0,child,male,138,20,16,5
rent,20,3,senior,male,41,10,66,7
own,15,1,senior,female,182,13,79,7
rent,25,3,adult,male,35,11,34,12
own,5,2,adult,female,125,0,21,9
own,10,1,adult,female,44,14,41,8
own,20,0,senior,male,15,20,67,13
own,-0,0,adult,male,96,12,43,7
own,20,2,child,male,130,19,14,11
own,20,7,child,female,29,25,17,7
own,5,0,season,female,118,0,35,7
own,15,1,senior,male,102,24,60,8
own,30,3,adult,male,24,11,21,15
own,15,2,adult,female,11,14,54,9
rent,-5,1,season,male,84,8,59,4
rent,20,0,senior,male,100,17,63,12
own,35,1,child,male,32,23,12,16
own,10,2,adult,male,21,18,34,10
rent,5,3,child,female,36,13,18,8
own,10,0,adult,male,110,16,30,9
rent,15,1,child,female,25,0,11,11
own,5,3,adult,male,131,9,55,5
own,5,3,senior,male,102,24,68,8
own,5,3,adult,male,112,18,44,2
own,15,3,adult,female,115,17,43,9
own,30,2,season,female,129,1,66,11
own,5,3,child,male,87,12,15,7
own,15,2,adult,male,19,18,38,9
own,5,4,senior,male,24,17,81,5
own,30,4,adult,female,19,12,38,14
own,15,2,child,female,19,9,11,10
own,10,1,adult,female,32,16,46,10
own,-15,2,adult,female,169,10,59,1
rent,35,2,adult,female,179,15,29,12
own,-0,2,adult,male,30,13,56,8
own,10,1,adult,male,54,22,46,11
own,15,0,senior,male,168,7,68,12
rent,5,2,adult,male,45,20,20,5
own,40,0,adult,female,55,8,28,16
own,5,0,child,female,27,0,9,11
own,-5,5,senior,male,176,28,70,1
own,5,1,adult,female,180,9,21,7
own,15,2,senior,female,60,0,62,9
rent,5,2,adult,female,115,15,33,5
own,-5,4,adult,female,41,0,59,5
own,25,2,adult,male,18,11,56,14
own,10,2,child,male,136,23,6,7
own,10,2,senior,female,105,17,66,8
own,0,1,adult,female,43,30,46,5
own,5,0,adult,male,54,12,58,10
own,5,0,adult,female,99,10,51,9
own,-0,2,adult,male,165,18,40,3
own,20,2,season,female,17,13,48,10
own,15,1,senior,female,12,0,65,11
own,5,0,season,male,121,0,50,6
own,5,2,senior,male,122,11,62,7
own,20,2,adult,male,170,16,31,9
own,5,2,adult,female,121,12,19,8
own,5,1,adult,female,102,0,59,7
own,30,3,adult,male,25,9,26,14
own,25,3,child,male,182,0,7,12
own,0,1,senior,male,32,9,67,8
own,30,0,child,female,47,0,14,16
own,5,1,senior,female,14,0,73,11
own,0,1,adult,male,102,14,27,4
own,15,0,senior,male,117,21,67,9
rent,20,2,child,male,159,12,11,8
own,-0,1,adult,male,11,22,22,7
own,5,1,child,female,120,11,7,8
rent,5,1,senior,female,55,10,66,10
rent,15,2,adult,female,118,0,53,11
own,10,2,senior,female,14,0,68,9
rent,-5,2,adult,other,124,0,35,3
own,5,1,adult,male,130,12,53,7
own,25,3,adult,female,36,24,59,11
own,15,2,season,female,105,21,60,8
rent,-5,1,senior,female,48,12,61,3
rent,20,1,senior,female,123,15,76,10
rent,25,4,adult,male,38,20,42,9
own,10,1,child,female,42,20,5,10
own,5,1,season,female,113,11,45,6
own,20,2,season,male,23,8,29,8
own,20,0,season,female,36,12,69,10
own,10,3,adult,female,154,16,25,5
own,15,3,adult,male,34,26,59,13
own,10,1,adult,male,19,24,56,9
own,-10,2,adult,female,38,0,19,6
own,5,1,season,male,38,14,73,8
own,5,3,season,female,14,0,73,7
rent,5,2,season,female,38,21,33,6
own,15,2,adult,female,14,0,33,12
own,-5,1,adult,female,16,22,53,5
own,-0,2,adult,male,18,8,43,9
own,-10,1,adult,male,116,20,36,4
own,15,2,adult,female,47,0,30,12
own,5,2,adult,female,102,0,23,9
rent,5,1,adult,male,55,12,39,6
own,20,3,adult,male,100,19,54,9
own,5,3,adult,female,20,12,54,7
rent,15,0,season,male,119,23,37,7
rent,5,1,child,male,115,18,17,5
own,15,1,season,male,132,17,33,9
own,-0,1,senior,male,154,21,72,6
own,30,2,adult,male,139,18,30,13
own,-15,3,adult,female,88,15,21,1
own,-5,1,adult,female,29,0,30,9
own,-10,1,adult,female,129,0,23,6
own,15,2,child,male,115,8,14,10
rent,10,0,child,female,19,16,7,10
own,0,3,season,male,168,9,56,2
own,10,3,adult,female,101,26,33,6
own,15,2,adult,female,97,23,42,6
own,10,1,senior,male,115,9,78,10
own,5,2,senior,male,63,0,76,8
own,20,1,child,female,41,0,12,16
own,5,1,season,female,178,22,27,4
own,15,0,adult,male,18,17,54,12
own,5,3,adult,male,52,0,44,10
own,20,2,season,female,112,17,69,10
own,20,1,adult,male,56,19,56,12
rent,10,3,adult,male,48,0,54,9
rent,-5,3,season,female,127,14,72,1
own,5,3,child,female,113,20,15,8
